,Title[1][2],Developer(s),Publisher(s)[1][2][3],Publisher(s)[1][2][3],Release date,Release date
170,Digger T. Rock: Legend of the Lost City,Rare,Milton Bradley Company,Milton Bradley Company,December 1990,1991
171,Dirty Harry,Gray Matter Inc.,Mindscape,Unreleased,December 1990,Unreleased
172,Disney's Aladdin,NMS Software,Unreleased,Virgin Interactive,Unreleased,"December 31, 1994"
173,Disney's Beauty and the Beast,Probe Software,Unreleased,Hudson Soft,Unreleased,1994
174,Disney's Darkwing Duck,Capcom,Capcom,Capcom,June 1992,"December 9, 1993"
175,Disney's The Jungle Book,"Eurocom, Virgin Interactive",Virgin Interactive,Virgin Interactive,August 1994,"August 25, 1994"
176,Disney's The Lion King,Dark Technologies,Unreleased,Virgin Interactive,Unreleased,"May 25, 1995"
177,Disney's The Little Mermaid,Capcom,Capcom,Unreleased,July 1991,Unreleased
178,Donkey Kong,"Nintendo Research & Development 1, Nintendo Research & Development 2",Nintendo,Nintendo,"June 1, 1986","October 15, 1986"
179,Donkey Kong 3,Nintendo Research & Development 1,Nintendo,Nintendo,"June 6, 1986",September 1987
180,Donkey Kong Classics,Nintendo,Nintendo,Nintendo,October 1988,"August 10, 1989"
181,Donkey Kong Jr.,"Nintendo Research & Development 1, Nintendo Research & Development 2",Nintendo,Nintendo,"June 1, 1986",1987
182,Donkey Kong Jr. Math,Nintendo Research & Development 2,Nintendo,Nintendo,"June 6, 1986",September 1986
183,Double Dare,Rare,GameTek,Unreleased,April 1990,Unreleased
184,Double Dragon,Technōs Japan,Tradewest,Nintendo,June 1988,"September 28, 1990"
185,Double Dragon II: The Revenge,Technōs Japan,Acclaim Entertainment,Acclaim Entertainment,January 1990,August 1990
186,Double Dragon III: The Sacred Stones,Technōs Japan,Acclaim Entertainment,Acclaim Entertainment,February 1991,January 1991
187,Double Dribble,Konami,Konami,Konami,September 1987,1988
188,Dr. Chaos,"Marionette, SRS",FCI,Unreleased,November 1988,Unreleased
189,Dr. Jekyll and Mr. Hyde,Advance Communication Company,Bandai,Unreleased,April 1989,Unreleased
190,Dr. Mario,Nintendo Research & Development 1,Nintendo,Nintendo,"October 14, 1990","June 27, 1991"
191,Dragon Fighter,Natsume,SOFEL,Unreleased,January 1992,Unreleased
192,Dragon Power (NA)Dragon Ball (EU),TOSE,Bandai,Bandai,March 1988,1990
193,Dragon Spirit: The New Legend,Now Production,Bandai,Unreleased,June 1990,Unreleased
194,Dragon Warrior,Chunsoft,Nintendo,Unreleased,August 1989,Unreleased
195,Dragon Warrior II,Chunsoft,Enix,Unreleased,September 1990,Unreleased
196,Dragon Warrior III,Chunsoft,Enix,Unreleased,March 1992,Unreleased
197,Dragon Warrior IV,Chunsoft,Enix,Unreleased,October 1992,Unreleased
198,Dragon's Lair,MotiveTime,CSG Imagesoft,Elite Systems,December 1990,"January 3, 1992"
199,Dropzone,Eurocom,Unreleased,Mindscape,Unreleased,1992
200,Duck Hunt,"Nintendo Research & Development 1, Intelligent Systems",Nintendo,Nintendo,"October 18, 1985","August 15, 1987"
201,DuckTales[a],Capcom,Capcom,Capcom,September 1989,"December 14, 1990"
202,DuckTales 2,Make Software,Capcom,Capcom,June 1993,"November 18, 1993"
203,Dungeon Magic: Sword of the Elements,Natsume,Taito,Unreleased,July 1990,Unreleased
204,Dusty Diamond's All-Star Softball,TOSE,Brøderbund,Unreleased,July 1990,Unreleased
205,Dynowarz: Destruction of Spondylus,Advance Communication Company,Bandai,Unreleased,April 1990,Unreleased
206,Eggsplode! (part of Short Order / Eggsplode!),TOSE,Nintendo,Unreleased,December 1989,Unreleased
207,Elevator Action,Micronics,Taito,Unreleased,August 1987,Unreleased
208,Eliminator Boat Duel,Sculptured Software,Electro Brain,Storm,November 1991,"April 29, 1993"
209,Elite,David BrabenIan Bell,Unreleased,Imagineer,Unreleased,1991
210,Excitebike,Nintendo Research & Development 1,Nintendo,Nintendo,"October 18, 1985","September 1, 1986"
211,F-15 Strike Eagle,MicroProse,MicroProse,MicroProse,February 1992,"February 18, 1993"
212,F-117A Stealth Fighter,MicroProse,MicroProse,Unreleased,December 1992,Unreleased
213,Family Feud,Beam Software,GameTek,Unreleased,May 1991,Unreleased
214,Faria: A World of Mystery and Danger,Game Arts,Nexoft,Unreleased,June 1991,Unreleased
215,Faxanadu,Hudson Soft,Nintendo,Nintendo,August 1989,"December 28, 1990"
216,Felix the Cat,Shimada Kikaku,Hudson Soft,Hudson Soft,October 1992,1992
217,Ferrari Grand Prix Challenge,System 3,Acclaim Entertainment,Acclaim Entertainment,June 1992,June 1992
218,Fester's Quest,Sunsoft,Sunsoft,Sunsoft,September 1989,"September 14, 1990"
219,Final Fantasy,Square,Nintendo,Unreleased,May 1990,Unreleased
220,Fire 'n Ice (NA)Solomon's Key 2 (EU),Tecmo,Tecmo,Tecmo,March 1993,"March 18, 1993"
221,Fisher-Price: Firehouse Rescue,Imagineering,GameTek,Unreleased,March 1992,Unreleased
222,Fisher-Price: I Can Remember,Beam Software,GameTek,Unreleased,March 1990,Unreleased
223,Fisher-Price: Perfect Fit,Beam Software,GameTek,Unreleased,March 1990,Unreleased
224,Fist of the North Star,Shouei System,Taxan,Unreleased,April 1989,Unreleased
225,Flight of the Intruder (NA)Phantom Air Mission (EU),Imagineering,Mindscape,Activision,May 1991,1991
226,The Flintstones: The Rescue of Dino & Hoppy,"Taito, Sol",Taito,Taito,December 1991,"April 30, 1992"
227,The Flintstones: Surprise at Dinosaur Peak,"Taito, Sol",Taito,Taito,August 1994,"February 24, 1994"
228,Flying Dragon: The Secret Scroll,Culture Brain,Culture Brain,Unreleased,August 1989,Unreleased
229,Flying Warriors,Culture Brain,Culture Brain,Unreleased,February 1991,Unreleased
230,Formula 1 Sensation,Konami,Unreleased,Palcom Software,Unreleased,1993
231,Formula One: Built to Win,Winkysoft,SETA,Unreleased,November 1990,Unreleased
232,Fox's Peter Pan and the Pirates: The Revenge of Captain Hook,"Richard Seaborne, Equilibrium",THQ,Unreleased,January 1991,Unreleased
233,Frankenstein: The Monster Returns,TOSE,Bandai,Unreleased,July 1991,Unreleased
234,Freedom Force,Sunsoft,Sunsoft,Unreleased,April 1988,Unreleased
235,Friday the 13th,Atlus,LJN,Unreleased,February 1989,Unreleased
236,Fun House,Realtime Associates,Hi Tech Expressions,Unreleased,January 1991,Unreleased
237,G.I. Joe: A Real American Hero,KID,Taxan,Unreleased,January 1991,Unreleased
238,G.I. Joe: The Atlantis Factor,KID,Capcom,Unreleased,March 1992,Unreleased
239,Galaga: Demons of Death (NA)Galaga (EU),Namco,Bandai,Bandai,September 1988,1988
240,Galaxy 5000,Activision,Activision,Activision,February 1991,February 1991
241,Gargoyle's Quest II: The Demon Darkness,Capcom,Capcom,Capcom,October 1992,"June 17, 1993"
242,Gauntlet[b],Tengen,Tengen,Unreleased,July 1988,Unreleased
243,Gauntlet II,Eastridge Technology,Mindscape,Mindscape,September 1990,"April 25, 1991"
244,Gemfire,Koei,Koei,Unreleased,March 1992,Unreleased
245,Genghis Khan,Koei,Koei,Unreleased,January 1990,Unreleased
246,George Foreman's KO Boxing,Beam Software,Acclaim Entertainment,Acclaim Entertainment,December 1992,December 1992
247,Ghostbusters,Bits Corporation,Activision,Unreleased,October 1988,Unreleased
